T,DAX,NKY,SPX,SX5E,SX7E,SXAP,SXKP,PORTFOLIO
15-Jun-15,-0.00828,-0.00041,-0.00201,-0.0081,-0.01142,-0.0093,-0.00691,-0.00887
16-Jun-15,0.00233,-0.00277,0.00246,0.00202,0.00058,0.00249,0.0011,-0.00239
17-Jun-15,-0.0026,-0.00083,0.00086,-0.0032,-0.00338,-0.00748,-0.00042,0.00094
18-Jun-15,0.00481,-0.00493,0.00428,0.00274,0.00277,0.00104,0.00318,-0.00299
22-Jun-15,0.01623,0.00543,0.00264,0.01728,0.02,0.01559,0.01422,0.00857
23-Jun-15,0.0031,0.00803,0.00028,0.0036,0.00288,0.00564,0.0059,0.00308
24-Jun-15,-0.00269,0.00122,-0.00321,-0.0018,-0.00349,-0.0043,-0.00378,0.00035
25-Jun-15,0.00007,-0.00202,-0.00129,0,0.00245,0.00143,0.00074,-0.0006
26-Jun-15,0.00073,-0.00137,-0.00017,0.00126,0.00347,0.00188,0.00054,-0.00603
04-Aug-15,0.00047,-0.00059,-0.00098,-0.00193,-0.00716,0.00327,-0.00002,-0.00778
05-Aug-15,0.00678,0.00198,0.00135,0.00684,0.00529,0.01068,0.00594,0.00415
06-Aug-15,-0.00192,0.00106,-0.00338,-0.00098,-0.00011,-0.00309,-0.00392,-0.00311
07-Aug-15,-0.00355,0.00126,-0.00125,-0.00365,-0.00426,0.00055,-0.00625,-0.00212
10-Aug-15,0.00429,0.00176,0.00553,0.00441,0.00457,0.0025,0.00403,0.00658
11-Aug-15,-0.0118,-0.00184,-0.00417,-0.00831,-0.00435,-0.01816,-0.00453,-0.00319
12-Aug-15,-0.01443,-0.00693,0.00041,-0.01481,-0.01373,-0.01776,-0.0114,-0.01225
13-Aug-15,0.00356,0.0043,-0.00055,0.00394,0.00431,0.00354,0.00209,0.00714
14-Aug-15,-0.00116,-0.00161,0.0017,-0.00311,-0.00383,0.00142,-0.00109,0.00035
17-Aug-15,-0.00178,0.00213,0.00226,0.00085,0.00232,-0.00218,-0.00071,0.00168
18-Aug-15,-0.00097,-0.00139,-0.00114,-0.00031,0.00159,-0.00323,0.00169,-0.00571
19-Aug-15,-0.0094,-0.00707,-0.0036,-0.00822,-0.00517,-0.01079,-0.00779,-0.00642
20-Aug-15,-0.01028,-0.00408,-0.00926,-0.00978,-0.01133,-0.00998,-0.01045,-0.01
24-Aug-15,-0.02092,-0.02048,-0.01746,-0.0239,-0.02564,-0.01976,-0.02658,-0.04936
25-Aug-15,0.02107,-0.01754,-0.00591,0.01997,0.02338,0.02282,0.02014,0.00416
